TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
118,Thân mềm,TB.118,Conidae,Conus geographus,"(Linnaeus, 1758)",Ốc cối địa lý,Vùng biển Lý Sơn,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8-13 cm. Mẫu lớn nhất có kích cỡ đạt tới 16 cm
Sinh học, sinh thái: Sống ở đáy cát trong rạn san hô, độ sâu từ 1-25 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Lý Sơn, Khánh Hòa, Côn Đảo, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
119,Thân mềm,TB.119,Conidae,Conus textile,"(Linnaeus, 1758)",Ốc cối hoa lưới,Vùng biển các tỉnh phía Bắc,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 7-9 cm. Mẫu lớn nhất có kích cỡ đạt tới 13 cm
Sinh học, sinh thái: Sống ở đáy cát vùng rạn san hô, độ sâu từ 1-50 m nước
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển các tỉnh phía Bắc, Quảng Ngãi, Bình Định, Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
120,Thân mềm,TB.120,Conidae,Conus aulicus,"(Linnaeus, 1758)",Ốc cối dài hoa nâu,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 10-12cm. Mẫu lớn nhất có kích cỡ đạt tới 15 cm
Sinh học, sinh thái: Sống trên các rạn san hô vùng dưới triều đến độ sâu 30 m
Phân bố: - Thế giới: Vùng biển Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Bình Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
121,Thân mềm,TB.121,Conidae,Conus striatus,"(Linnaeus, 1758)",Ốc cối vằn,Vùng biển Quảng Ninh,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8-10 cm. Mẫu lớn nhất có kích cỡ đạt tới 12.3 cm
Sinh học, sinh thái: Sống ở đáy cát gần rạn san hô, độ sâu từ 1-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương; Biển Đỏ - Việt Nam: Vùng biển Quảng Ninh, Hải Phòng, Quảng Ngãi, Khánh Hòa, Côn Đảo, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
122,Thân mềm,TB.122,Nassariidae,Nassarius comptus,"(A. Adams, 1852)",Ốc bùn vàng,Vùng biển Khánh Hòa,,,,,,,,,,"Màu sắc, đặc điểm: trung bình 3-4cm. Mẫu lớn nhất có kích cỡ đạt tới 5 cm
Sinh học, sinh thái: Sống ở đáy bùn vùng cận triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Độc tố: sinh vật độc hại.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
123,Thân mềm,TB.123,Nassariidae,Nassarius glans,"(Linnaeus, 1758)",Ốc bùn bóng,Vùng biển Phú Yên,,,,,,,,,,"Màu sắc, đặc điểm: trung bình 3-3,5cm. Mẫu lớn nhất có kích cỡ đạt tới 4 cm
Sinh học, sinh thái: Sống ở đáy bùn vùng triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Phú Yên, Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Độc tố: sinh vật độc hại.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
124,Thân mềm,TB.124,Nassariidae,Nassarius papillosus,"(Linnaeus, 1758)",Ốc bùn răng cưa,Vùng biển Quảng Ngãi,,,,,,,,,,"Màu sắc, đặc điểm: trung bình 3,5-4cm. Mẫu lớn nhất có kích cỡ đạt tới 5 cm
Sinh học, sinh thái: Sống ở đáy cát bùn vùng cận triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi , Bình Định, Phú Yên, Khánh Hoà, Ninh Thuận, vv…
Độc tố: sinh vật độc hại.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
125,Thân mềm,TB.125,Naticidae,Natica fasciata,"(Roeding, 1798)",Ốc mỡ miệng đen,Ven biển miền Trung,,,,,,,,,,"Màu sắc, đặc điểm: trung bình 2-2,5cm. Mẫu lớn nhất có kích cỡ đạt tới 3 cm
Sinh học, sinh thái: Sống ở đáy cát vùng cận triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Ven biển miền Trung, vv…
Ứng dụng: chưa rõ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
126,Cá biển,TB.126,Rajidae,Okamejei boesemani,"(Ishihara, 1987)",Cá đuối,Khánh Hòa,01.01.2020,,,,,,,,,"Sinh học, sinh thái: Chúng sống ở dưới nền đáy cát ở độ sâu từ 70 – 90m, con lớn nhất ghi nhận có chiều dài 55cm, cơ thể hình thoi, dẹp, với phần mõm nhọn, 2 mắt của chúng hướng về phía mặt bụng để phù hợp với môi trường sống dưới nền đáy cát.đây là loài đẻ trứng, các con cá đuối nhỏ có xu hướng sống theo cá đuối mẹ, thức ăn của chúng chủ yếu là động vật không xương sống và cá nhỏ.
Ghi chú: Loài cá đuối này được tìm thấy ở Biển Đông và Nam Trung Quốc từ Thượng Hải (Trung Quốc) đến Kuching (Sarawak), một số khác có thể ở ngoài khơi phía đông Indonesia. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
127,Cá biển,TB.127,Urolophidae,Urolophus aurantiacus,"(J. P. Müller & Henle, 1841)",Cá đuối mình tròn,Khánh Hòa,01.01.2020,,,,1,,,1,,"Màu sắc, đặc điểm: Cá đuối mình tròn thuộc họ Urolophidae. Loài cá đuối này có thân dẹp mỏng hình thoi, hơi tròn. Các cá thể có thể phát triển đến 40 cm. Chúng dựa vào vây bơi ở ngực để di chuyển xung quanh. Đuôi ngắn, và bằng 1,3 đến 1,5 lần chiều dài của thân. Chúng sinh sống tại tầng đáy, thở bằng cách lấy nước vào thông qua các lỗ thở và đẩy nước qua các mang ra ngoài. Phần lớn các loài cá đuối có các răng phát triển, nặng, thuôn tròn để nghiền mai hay vỏ của các loài sinh vật tầng đáy như ốc, trai, sên biển, hàu, động vật giáp xác, và một vài loài cá. Cá đuối không đẻ trứng như hầu hết các loại cá khác mà chúng mang thai và đẻ con, mỗi lần sinh có thể từ 2 – 8 con tùy thuộc vào kích thước cơ thể và tuổi của cá đuối mẹ. Cá đuối mình tròn được IUCN liệt kê là dễ bị tổn thương và có xu hướng giảm dần số lượng.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
128,Cá biển,TB.128,Syngnathidae,Hippocampus spinosissimus,"(M. C. W. Weber, 1913)",Cá ngựa gai,Khánh Hòa,01.01.2020,,,1,1,1,1,,,"Sinh học, sinh thái: Cá ngựa gai là loài quý hiếm, có tên trong sách đỏ của Tổ chức Bảo tồn Thiên nhiên Thế giới (IUCN) và đã được Viện Hải dương học cho sinh sản thành công trong môi trường nuôi nhân tạo để đáp ứng nhu cầu thị trường và hạn chế việc đánh bắt cá ngoài tự nhiên. Cá ngựa gai có đầu dạng ""đầu ngựa"", đỉnh đầu có chùm gai to hình dạng như chiếc vương miện. Chúng không có vây bụng và vây đuôi. Các đốt đuôi nhỏ dần và cử động linh hoạt, có thể cuộn quanh các nhánh rong cỏ hoặc san hô để bắt mồi.  Ở môi trường tự nhiên, cá ngựa gai sống ở những nơi có độ sâu khoảng 10m, nơi có nhiều rạn san hô. Cá sinh sản quanh năm, mùa sinh sản chủ yếu vào tháng 5 - 11. Hiện nay cá ngựa đang là đối tượng săn bắt nên số lượng cá ngựa ngoài tự nhiên không còn nhiều và đang được đề xuất bảo vệ nguồn gen quý hiếm, đưa vào loại nguy cấp cần được bảo vệ lâu dài.
Phân bố: Cá ngựa gai thuộc họ Syngnathidae, thường được tìm thấy tại các vùng biển ở Úc, Indonesia, Malaysia, Philippines, Singapore, Sri Lanka, Đài Loan, Thái Lan. Tại Việt Nam, cá ngựa gai phân bố ở Vịnh Bắc Bộ, Đà Nẵng đến Bà Rịa - Vũng Tàu, Kiên Giang.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
129,Cá biển,TB.129,Gobiidae,Trypauchen vagina,"(Bloch & J. G. Schneider, 1801)",Cá rễ cau dài,Khánh Hòa,01.01.2020,,,,,,,,,"Phân bố: Cá rễ cau dài  là loài cá bống trong họ Oxudercidae được tìm thấy trong khu vực Ấn Độ Dương - Thái Bình Dương. Chúng có cơ thể thon dài khoảng 20 - 22 cm; có màu đỏ - hồng và sở hữu chiếc túi đặc biệt trong các cạnh trên nắp mang. Loài này sống trong hang bùn hoặc đáy bùn của cửa sông và vùng ven biển. Mắt được tiêu giảm, bao phủ hoàn toàn bởi da và phần trước của đầu được bảo vệ bởi thịt dày. Cả hai sự thích nghi này hỗ trợ chúng trong việc đào hang. Cá rễ cau dài phân bố ở vùng biển nông và nước lợ của Ấn Độ Dương, Vịnh Ba Tư, và phía tây Thái Bình Dương, từ Kuwait đến Nouvelle-Calédonie… Chúng là loài ăn tạp, chủ yếu là săn động vật giáp xác nhỏ đi lang thang gần hang.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
130,Cá biển,TB.130,Carangidae,Alepes djedaba,"(Forsskål, 1775)",Cá dóc,Khánh Hòa,01.01.2020,,,,,,,1,,"Sinh học, sinh thái: Cá Dóc phân bố chủ yếu ở Vùng biển nhiệt đới và cận nhiệt đới Ấn Độ - Thái Bình Dương. Ở Việt Nam, chúng tập trung nhiều ở các rạn san hô miền Trung và Đông, Tây Nam Bộ, tầng nước sống ở độ sâu 3 - 40m. Cá chưa trưởng thành sống xung quanh rạn san hô, ven bờ. Thức ăn của cá dóc thường là tôm, ấu trùng chân chèo, giáp xác và các loại cá nhỏ. Chiều dài của loài này thường từ 25 – 40cm, trọng lượng 124g. Cá thành thục sinh dục khi đạt 17cm và đẻ trứng ở các vùng nước biển cạn ven bờ.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
131,Cá biển,TB.131,Chaetodontidae,Chaetodon kleinii,"(Bloch, 1790)",Cá bướm nâu nhạt,Khánh Hòa,01.01.2020,,,,,,,,,"Sinh học, sinh thái: Cá Bướm nâu nhạt chiều dài cơ thể lớn nhất được ghi nhận là 15 cm. Cá Bướm nâu nhạt thường sống tập trung ở những khu vực mà san hô phát triển phong phú trên các rạn ven bờ và đầm phá, có khi ở những khu vực có nền đáy cát, độ sâu bắt gặp loài này có thể lên đến 122m. Loài cá này ăn tạp, bao gồm một số loài thủy sinh không xương sống (như động vật phù du) và tảo. Chúng cũng ưa thích ăn san hô mềm và san hô cứng, tuy nhiên chúng không hoàn toàn phụ thuộc vào nguồn thức ăn này. Cá Bướm nâu nhạt thường sống đơn độc hoặc kết đôi với nhau nhưng đôi khi cũng hợp thành đàn khoảng 30 cá thể. Đây là một loài thường được xuất khẩu trong ngành thương mại cá cảnh
Phân bố: Cá Bướm nâu nhạt là loài thuộc chi Cá bướm trong họ Cá bướm (Chaetodontidae). chúng phân bố trải dài từ bờ biển Đông Phi đến quần đảo Hawaii (Hoa Kỳ), quần đảo Line và quần đảo Marquises (Polynésie thuộc Pháp), ở biển phía nam vùng biển Nhật Bản, … Ở Việt Nam, chúng được ghi nhận tại Cù Lao Chàm (Quảng Nam), đảo Lý Sơn (Quảng Ngãi), quần đảo Hoàng Sa, vùng biển Phú Yên, vịnh Nha Trang (Khánh Hòa), Ninh Thuận, một số đảo đá ngoài khơi tỉnh Bình Thuận, cũng như tại quần đảo Trường Sa.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển."
132,Cá biển,TB.132,Chaetodontidae,Forcipiger flavissimus,"(Jordan & McGregor, 1898)",Cá bướm mõm dài,Khánh Hòa,01.01.2020,,,,,,,1,,"Sinh học, sinh thái: Loài cá Bướm có chiều dài cơ thể lớn nhất được ghi nhận là 22 cm. Thức ăn của chúng bao gồm các loài động vật giáp xác nhỏ và cả trứng của những loài cá khác, nhưng loài này cũng thích gặm chân ống của các loài da gai, cầu gai và xúc tu của giun nhiều tơ. Chúng còn có thể giữ vai trò của cá dọn vệ sinh, khi loài cá bướm này được quan sát ở ngoài khơi đảo Johnston đang dùng mõm gắp vật thể trong khoang miệng của cá sơn đá. Cá Bướm mõm dài thường sống đơn độc và có thể hợp thành nhóm nhỏ khoảng 5 cá thể; cá trưởng thành thường ghép đôi vào thời điểm sinh sản. Đặc biệt, trong lúc cạnh tranh cùng loài, cá Bướm mõm dài phát ra âm thanh nhờ vào các hoạt động ở cơ sọ và cơ ngực. Tuổi thọ tối đa được ghi nhận ở loài này là 18 năm tuổi
Phân bố: Cá Bướm mõm dài là loài cá thuộc chi Forcipiger trong họ Cá bướm. Chúng có phạm vi phân bố rộng nhất trong họ Cá bướm, với diện tích phân bố trải dài trên khoảng 106 triệu km². Chúng xuất hiện trên khắp khu vực Ấn Độ Dương - Thái Bình Dương và mở rộng đến cả Đông Thái Bình Dương. Từ Biển Đỏ dọc theo bờ biển Đông Phi. Ở Việt Nam, Cá Bướm mõm dài được ghi nhận tại quần đảo Hoàng Sa và đảo Lý Sơn (Quảng Ngãi), vịnh Nha Trang và quần đảo Trường Sa (Khánh Hòa), cũng như tại bờ biển Phú Yên.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
133,Cá biển,TB.133,Leiognathidae,Karalla dussumieri,"(Valenciennes, 1835)",Cá liệt đúc xu,Khánh Hòa,01.01.2020,,,,,,,,,"Sinh học, sinh thái: Cá liệt đúc xu ban đầu có tên Equula dussumieri vào năm 1835 bởi Achille Valenciennes tên cụ thể vinh danh nhà du hành và thương gia người Pháp Jean-Jacques Dussumier (1792-1883), người đã sưu tầm loại này. Cá Liệt đúc xu được tìm thấy ở khu vực Ấn Độ Dương - Thái Bình Dương. Chúng thường sinh sống ở vùng gần đáy của các rạn san hô và ven cửa sông. Chúng ăn động vật giáp xác nhỏ, giun nhiều tơ, hai mảnh vỏ, động vật chân bụng và giun tròn.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
134,Cá biển,TB.134,Caproidae,Antigonia capros,"(Lowe, 1843)",Cá thoi,Khánh Hòa,01.01.2020,,,,,,,,,"Màu sắc, đặc điểm: cơ thể lớn nhất của chúng được ghi nhận là 30,5cm. Đầu và cơ thể dẹp, có hình thoi, cơ thể có màu trắng bạc và đặc trưng bởi 3 dải màu đỏ sẫm, một dải ở ngang mắt, một ở vùng thân và một ở vùng đuôi. Các con trưởng thành thường được bắt gặp ở gần đáy, thức ăn của chúng đa số là động vật thân mềm và giáp xác nhỏ, hiện nay chúng rất có giá trị trong việc thương mại thủy sản.
Sinh học, sinh thái: Cá Thoi thuộc họ Caproidae, là loài có phân bố rộng, sự xuất hiện của chúng được ghi nhận ở các vùng biển nhiệt đới và cận nhiệt đới trên thế giới như Thái Bình Dương, Đại Tây Dương và Ấn Độ Dương. Chúng được bắt gặp ở độ sâu từ 50m đến 900m ở các các vùng biển tuy nhiên chúng chủ yếu sống ở độ sâu từ 100 – 300m.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
135,Cá biển,TB.135,Zanclidae,Zanclus cornutus,"(Linnaeus, 1758)",Cá thù lù,Khánh Hòa,01.01.2020,,,,,,,,,"Phân bố: Cá Thù lù được biết đến một phần là nhờ bộ phim Finding Nemo. Loài cá này sinh sống trong khu vực Ấn Độ Dương và Thái Bình Dương, từ vùng biển Đông Phi tới các đảo Rapa và Ducie, Nhật Bản và quần đảo Hawaii, ... Hiện nay, chúng là một trong những loài cá nhiệt đới di cư về vùng cực vì biến đổi khí hậu. Cơ thể dẹp và có dạng dĩa, chúng có thể đạt chiều dài tối đa 23 cm ở môi trường tự nhiên. Cơ thể nổi bật với các dải màu đen, trắng và vàng tương phản khiến chúng trở nên hấp dẫn, khó có thể phân biệt sự khác nhau giữa con đực và con cái. Phần mõm dài và miệng nhỏ, hình ống; nhiều răng dài nhỏ giống như lông tơ ở miệng. Cá Thù lù là loài đẻ trứng, tuy nhiên trứng và tinh trùng được phóng thích vào nước để thu tinh nhờ vào các dòng chảy. Chúng thường xuyên tụ tập thành bầy dọc theo các bãi đá ngầm. Ở đại dương, chúng là loài ăn thực vật với tảo biển và bọt biển.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
136,Cá biển,TB.136,Acanthuridae,Zebrasoma velifer,"(Bloch, 1795)",Cá đuôi gai vây cao,Khánh Hòa,01.01.2020,,,,,,,,,"Màu sắc, đặc điểm: Cá Đuôi gai vây cao thuộc chi Zebrasoma trong họ Cá đuôi gai. Tên của loài cá này được ghép từ 2 âm tiết trong tiếng Latinh là veli (cánh buồm) và fero (mang, vác), có nghĩa là ""người mang cánh buồm"", ám chỉ vây lưng của chúng nhô cao khi căng rộng ra tựa như cánh của thuyền buồm.
Sinh học, sinh thái: Loài cá này có phạm vi phân bố rộng ở Tây và Trung Thái Bình Dương. Từ vịnh Thái Lan, loài cá này xuất hiện rộng khắp vùng biển các nước Đông Nam Á, … chúng thường sống gần các rạn san hô ở độ sâu đến 45m. Chiều dài cơ thể tối đa được ghi nhận ở loài này là 40 cm. Cá đuôi gai vây cao có thể đổi màu cơ thể, các dải sọc màu xám trở nên sáng màu hơn hoặc trở nên sẫm nâu đến khi tiệp màu với toàn bộ cơ thể. Trong suốt quá trình bắt cặp tìm bạn tình, cá đực và cá cái đều có cùng một kiểu màu sắc. Mặt khác, cơ thể của chúng sẽ hoàn toàn chuyển sang màu sẫm khi chúng đang tấn công những đồng loại xâm phạm lãnh thổ của mình. Cá đuôi gai vây cao thường sống đơn độc, nhưng cũng có thể bơi theo cặp. Con trưởng thành cũng có thể hợp thành đàn khoảng từ 50 đến 100 cá thể ở vùng gian triều để kiếm ăn. Chúng luôn bảo vệ lãnh thổ của mình trước đồng loại, bất kể là chúng sống đơn độc hay theo cặp.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
137,Cá biển,TB.137,Ogcocephalidae,Halicmetus reticulatus,"(Smith & Radcliffe, 1912)",Cá cà gai răng,Khánh Hòa,01.01.2020,,,,,,,,,"Sinh học, sinh thái: Loài cá này có chiều dài cơ thể lớn nhất là 9 cm, chúng thường tìm thấy ở độ sâu 290 – 500m. Loài này thường được tìm thấy ở các vùng biển thuộc Tây Thái Bình Dương: Nhật Bản, Đài Loan. Mặt lưng có vân màu nâu đậm trên nền nâu vàng; mặt bụng màu trắng, với các các đường hoa văn như đá cẩm thạch, với phần đầu bè dẹp, miệng nhỏ. Cơ thể được bao phủ bởi phần xương mỏng có hình dạng như 1 chiếc khiêng, với phần lưng được bao phủ bởi các gai rất ngắn và các nốt sần nhỏ (khó nhìn thấy bằng mắt thường nếu không được phóng đại). Vây lưng và vây hậu môn rất ngắn.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
138,Cá biển,TB.138,Ogcocephalidae,Halieutaea fumosa,"(Alcock, 1894)",Cá lưỡi dong dơi,Khánh Hòa,01.01.2020,,,,,,,,,Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa.
139,Cá biển,TB.139,Tetraodontidae,Lagocephalus spadiceus,"(Richardson, 1845)",Cá nóc vàng,Khánh Hòa,01.01.2020,,,,,,,1,,"Màu sắc, đặc điểm: Cá nóc vàng được đánh bắt để làm thực phẩm chủ yếu ở khu vực Đông Á và Đông Nam Á. Ở Việt Nam, cá nóc vàng lại được xem là loài có độc tính mạnh.Cá nóc vàng cùng cá nóc bạc và cá nóc răng mỏ chim là những loài mà tỉnh Kiên Giang (Việt Nam) được phép xuất khẩu sang thị trường Hàn Quốc. Còn ở Thái Lan, cá nóc vàng được đánh giá là loài không có độc, và được chế biến dưới dạng cá viên.
Sinh học, sinh thái: Cá nóc vàng thuộc họ Tetraodontidae. Phạm vi phân bố của loài cá nóc này khá rộng, từ Ấn Độ Dương đến Thái bình Dương, biển Đông, Hàn Quốc, Nhật Bản, … Chúng có khả năng sống ở độ sâu lên đến 200m. Chiều dài cơ thể lớn nhất được ghi nhận ở cá nóc vàng là 43 cm. Thân trên có màu vàng lục sẫm, thân dưới màu trắng. Thức ăn của cá nóc vàng khá đa dạng, bao gồm các loài động vật thân mềm, giáp xác và cá nhỏ hơn.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
140,Cá biển,TB.140,Pomacentridae,Amphiprion frenatus,"(Brevoort, 1856)",Cá khoang cổ đỏ sọc gáy,Khánh Hòa,01.01.2020,,,,,,,,,"Sinh học, sinh thái: Trong tự nhiên, cá khoang cổ đỏ sống chung với hải quỳ và không bị ảnh hưởng bởi các xúc tu của hải quỳ. Hải quỳ bảo vệ cá hề khỏi những kẻ săn mồi, cũng như cung cấp thức ăn thông qua các mảnh vụn còn sót lại. Thỉnh thoảng, cá khoang cổ đỏ ăn xúc tu chết của hải quỳ. Đổi lại, cá hề bảo vệ hải quỳ khỏi những kẻ săn mồi và ký sinh trùng. Cá khoang cổ đỏ sọc gáy hiện được nuôi và cho sinh sản thành công trong môi trường nuôi nhân tạo tại Viện Hải dương học.
Ghi chú: Cá khoang cổ đỏ sọc gáy thuộc họ Pomacentridae. Loài này được tìm thấy nhiều ở Quần đảo Ryukyu (Nhật Bản), Biển Đông (Việt Nam) và các khu vực xung quanh bao gồm Malaysia và Indonesia. Cá trưởng thành có màu đỏ cam sáng, với một dải màu trắng nối qua đầu và với một đường viền màu đen đặc biệt. Cá khoang cổ đỏ thụ tinh ngoài, là loài lưỡng tính tuần tự, khi còn nhỏ chúng phát triển thành con đực trước tiên. Khi trưởng thành, chúng trở thành con cái. Trong một nhóm cá khoang cổ đỏ có một hệ thống phân cấp thống trị nghiêm ngặt, đầu đàn là cá cái lớn và hung dữ nhất. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
141,Cá biển,TB.141,Pomacentridae,Amphiprion ocellaris,"(Brevoort, 1856)","Cá khoang cổ cam, cá nê mô",Khánh Hòa,01.01.2020,,,,,,,,,"Sinh học, sinh thái: Trong tự nhiên, cá khoang cổ đỏ sống chung với hải quỳ và không bị ảnh hưởng bởi các xúc tu của hải quỳ. Hải quỳ bảo vệ cá hề khỏi những kẻ săn mồi, cũng như cung cấp thức ăn thông qua các mảnh vụn còn sót lại. Thỉnh thoảng, cá khoang cổ đỏ ăn xúc tu chết của hải quỳ. Đổi lại, cá hề bảo vệ hải quỳ khỏi những kẻ săn mồi và ký sinh trùng. Cá khoang cổ đỏ sọc gáy hiện được nuôi và cho sinh sản thành công trong môi trường nuôi nhân tạo tại Viện Hải dương học.
Ghi chú: Cá khoang cổ đỏ sọc gáy thuộc họ Pomacentridae. Loài này được tìm thấy nhiều ở Quần đảo Ryukyu (Nhật Bản), Biển Đông (Việt Nam) và các khu vực xung quanh bao gồm Malaysia và Indonesia. Cá trưởng thành có màu đỏ cam sáng, với một dải màu trắng nối qua đầu và với một đường viền màu đen đặc biệt. Cá khoang cổ đỏ thụ tinh ngoài, là loài lưỡng tính tuần tự, khi còn nhỏ chúng phát triển thành con đực trước tiên. Khi trưởng thành, chúng trở thành con cái. Trong một nhóm cá khoang cổ đỏ có một hệ thống phân cấp thống trị nghiêm ngặt, đầu đàn là cá cái lớn và hung dữ nhất. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
142,Cá biển,TB.142,Labridae,Thalassoma lunare,"(Linnaeus, 1758)",Cá bàng chài đầu đen,Khánh Hòa,01.01.2020,,,,,,1,1,,"Màu sắc, đặc điểm: Thế giới: Nhật Bản, Trung Quốc, Philippin, Inđônêxia, Micrônêxia, Ôxtrâylia, Papua Niu Ghine, Đông châu Phi, Biển Đỏ. Giá trị: Có thể làm thực phẩm nhưng số lượng ít. Chủ yếu là nuôi làm cá cảnh vì màu sắc của chúng đẹp. Cá Bàng chài đầu đen có chiều dài cơ thể tối đa được ghi nhận là 45 cm. Chúng loài lưỡng tính tiền nữ (protogynous hermaphrodite), nghĩa là tất cả cá con đều phải trải qua giai đoạn trung gian là cá cái trước khi biến đổi hoàn toàn thành cá đực. Vây đuôi lõm hình trăng khuyết. Toàn thân và đầu màu tím xanh, đầu có những vằn tía dạng phóng xạ từ mắt. Cá trưởng thành (đực lẫn cái) có cơ thể màu xanh lục, nhưng cá đực sẫm màu xanh lam hơn, đặc biệt là trong quá trình tán tỉnh.
Phân bố: Cá Bàng chài đầu đen  thuộc họ Labridae (họ cá Bàng chài). Chúng có phạm vi phân bố rộng rãi. Trong nước: Vịnh Bắc Bộ, Cù Lao Chàm, Nha Trang, Cù Lao Cau, Côn Đảo, Phú Quốc (Kiên Giang) và quần đảo Trường Sa.
Ghi chú: Những năm gần đây, Cá bàng chài đầu đen trở nên hiếm, rất ít gặp, nguyên nhân có thể là do săn bắt tích cực để bán. Việc khai thác nguồn lợi thủy sản bằng chất nổ và hóa chất độc làm mất chỗ trú ẩn và ô nhiễm môi trường đã làm suy giảm nguồn lợi. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
143,Cá biển,TB.143,Scorpaenidae,Pterois antennata,"(Bloch, 1787)",Cá mao tiên lớn,Khánh Hòa,01.01.2020,,,,,,,,,"Phân bố: Cá Mao tiên lớn thuộc họ Scorpaenidae (họ cá Mù làn). Chúng được tìm thấy ở những vùng biển nhiệt đới thuộc Ấn Độ Dương và Tây Thái Bình Dương. Đây là một trong những loài cá rất đẹp nhưng lại có chứa một lượng chất độc nguy hiểm.
Độc tố: Cá Mao tiên là loài săn mồi về đêm, hoạt động mạnh nhất ngay sau khi màn đêm buông xuống và chúng dành cả ngày ẩn náu trong các kẽ hở và hang động. Khi ẩn nấp, chúng hướng những chiếc gai có nọc độc ra ngoài. Thức ăn chủ yếu là các loài giáp xác và cá nhỏ, bao gồm cả cá con cùng loài. Cá Mao tiên thường sống đơn độc, chúng chỉ sống tập trung khi còn nhỏ và đến tuổi sinh sản. Cá Mao tiên sinh sản thường xuyên và con cái có thể đẻ tới 15.000 quả trứng trong một khối bao phủ bởi chất nhầy mà tinh trùng của con đực có thể xâm nhập để thụ tinh với trứng. Những quả trứng được cho là sẽ nở sau 36 giờ.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
